               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084996,            0.026929,            0.096939,            0.011759,             0.91503,            0.020109,           0.0083122,            0.051928,            0.014556,            0.095438,            0.070148,           0.0033169,           0.0033169
                   1,            0.047052,            0.018343,            0.094366,            0.015137,                   1,            0.024448,             0.01605,            0.029775,            0.010403,            0.093434,            0.040016,           0.0065186,           0.0065186
                   2,            0.039027,            0.014848,            0.093335,            0.016004,                   1,            0.025514,            0.017918,            0.027223,           0.0091933,            0.092651,           0.0097524,           0.0095882,           0.0095882
                   3,            0.033071,            0.012981,            0.091889,            0.017076,                   1,            0.038124,            0.027874,            0.024932,           0.0083252,             0.09063,            0.009406,            0.009406,            0.009406
                   4,            0.029637,            0.012019,            0.088471,            0.050868,              0.5085,            0.075311,            0.051662,            0.024809,           0.0081911,            0.086029,            0.009406,            0.009406,            0.009406
                   5,            0.028461,            0.011566,            0.082292,             0.19322,             0.44136,             0.17392,             0.12588,            0.023424,           0.0077696,            0.077084,            0.009208,            0.009208,            0.009208
                   6,            0.029074,            0.011577,            0.071334,             0.23242,             0.62729,               0.319,             0.23405,            0.023693,            0.007712,             0.06488,             0.00901,             0.00901,             0.00901
                   7,            0.029067,            0.011554,            0.061724,             0.34822,             0.67883,             0.50207,             0.36435,            0.023102,           0.0076512,            0.054459,            0.008812,            0.008812,            0.008812
                   8,            0.029607,            0.011513,            0.052879,             0.48249,             0.78065,             0.64991,             0.48627,            0.023212,           0.0077679,            0.045167,            0.008614,            0.008614,            0.008614
                   9,            0.029833,            0.011393,            0.045185,             0.59703,             0.85599,             0.76306,             0.56493,            0.024117,           0.0075566,            0.037655,            0.008416,            0.008416,            0.008416
                  10,            0.030002,            0.011352,            0.038545,             0.69935,             0.86626,             0.84927,             0.63837,            0.024048,           0.0075136,            0.031528,            0.008218,            0.008218,            0.008218
                  11,            0.030509,            0.011309,            0.033017,             0.83079,             0.90457,              0.9172,              0.6927,            0.024079,            0.007625,            0.025773,             0.00802,             0.00802,             0.00802
                  12,            0.030788,            0.011414,            0.027811,              0.9404,             0.93805,             0.97558,             0.74437,            0.023266,           0.0075632,            0.019177,            0.007822,            0.007822,            0.007822
                  13,            0.030784,             0.01132,            0.022929,             0.96529,             0.96544,              0.9893,             0.74585,            0.024414,           0.0078822,            0.014822,            0.007624,            0.007624,            0.007624
                  14,            0.030569,            0.011223,            0.019648,             0.97969,             0.97885,             0.99323,             0.75199,            0.024239,           0.0075403,            0.011727,            0.007426,            0.007426,            0.007426
                  15,            0.029994,             0.01108,            0.017245,             0.98306,             0.98542,             0.99379,             0.77151,            0.022622,           0.0073099,           0.0099006,            0.007228,            0.007228,            0.007228
                  16,              0.0295,            0.011004,            0.015727,             0.97643,             0.97543,               0.992,             0.77999,            0.022112,           0.0074084,           0.0099878,             0.00703,             0.00703,             0.00703
                  17,            0.028941,               0.011,             0.01523,             0.98796,             0.98849,             0.99396,              0.7757,            0.022581,           0.0072638,           0.0083077,            0.006832,            0.006832,            0.006832
                  18,             0.02878,            0.011027,            0.014134,             0.99129,             0.98876,             0.99466,             0.78632,              0.0211,           0.0070982,           0.0074762,            0.006634,            0.006634,            0.006634
                  19,            0.028073,            0.010869,             0.01339,             0.99316,             0.99168,              0.9946,             0.78806,            0.020781,           0.0072468,           0.0068906,            0.006436,            0.006436,            0.006436
                  20,            0.027805,            0.010785,            0.012746,             0.99323,             0.98919,             0.99426,             0.78681,            0.021138,           0.0070712,           0.0067656,            0.006238,            0.006238,            0.006238
                  21,            0.027255,            0.010596,            0.011986,             0.99557,             0.99431,             0.99492,             0.80369,            0.019738,           0.0069366,           0.0060643,             0.00604,             0.00604,             0.00604
                  22,            0.026995,             0.01056,            0.011315,             0.99672,             0.99641,             0.99484,             0.79116,            0.019831,           0.0069501,           0.0057146,            0.005842,            0.005842,            0.005842
                  23,            0.026348,            0.010497,            0.010861,             0.99624,             0.99612,             0.99499,             0.81958,            0.018591,           0.0066451,           0.0054418,            0.005644,            0.005644,            0.005644
                  24,            0.026132,             0.01037,            0.010372,             0.99603,             0.99626,             0.99468,             0.81147,            0.019019,           0.0067795,           0.0052816,            0.005446,            0.005446,            0.005446
                  25,            0.025793,            0.010333,            0.010255,             0.99648,             0.99582,             0.99471,              0.8194,            0.018411,           0.0065525,            0.005106,            0.005248,            0.005248,            0.005248
                  26,            0.025313,            0.010164,           0.0097506,             0.99643,             0.99708,             0.99467,             0.81315,            0.017894,           0.0065307,           0.0048656,             0.00505,             0.00505,             0.00505
                  27,            0.024945,            0.010191,           0.0096004,             0.99696,             0.99756,             0.99486,              0.8169,            0.017973,           0.0065194,           0.0046242,            0.004852,            0.004852,            0.004852
                  28,             0.02467,             0.01011,           0.0093214,              0.9968,             0.99757,             0.99483,             0.80525,            0.018391,            0.006774,           0.0043435,            0.004654,            0.004654,            0.004654
                  29,            0.024402,            0.010157,           0.0089095,             0.99774,             0.99778,             0.99497,             0.81506,            0.018094,           0.0066064,            0.004228,            0.004456,            0.004456,            0.004456
                  30,            0.024062,           0.0099757,           0.0085802,             0.99769,             0.99791,             0.99496,             0.82263,              0.0173,            0.006437,           0.0040006,            0.004258,            0.004258,            0.004258
                  31,            0.023632,           0.0099587,           0.0083442,             0.99787,             0.99878,             0.99494,              0.8207,            0.017547,           0.0064819,           0.0038418,             0.00406,             0.00406,             0.00406
                  32,            0.023201,           0.0099022,           0.0079438,             0.99853,             0.99852,               0.995,             0.82101,            0.017454,           0.0064398,           0.0037311,            0.003862,            0.003862,            0.003862
                  33,            0.022923,           0.0097273,           0.0076698,             0.99818,             0.99876,               0.995,             0.82552,            0.016996,           0.0063699,           0.0035715,            0.003664,            0.003664,            0.003664
                  34,            0.022513,           0.0096568,           0.0074684,             0.99776,             0.99891,             0.99499,             0.82098,            0.017144,           0.0064018,           0.0034979,            0.003466,            0.003466,            0.003466
                  35,            0.022186,           0.0096737,           0.0071296,             0.99837,             0.99948,             0.99499,             0.82413,            0.016838,           0.0063478,           0.0033344,            0.003268,            0.003268,            0.003268
                  36,            0.021862,           0.0094987,            0.006925,             0.99818,              0.9987,             0.99492,             0.82976,            0.016419,           0.0062266,           0.0032131,             0.00307,             0.00307,             0.00307
                  37,            0.021597,           0.0094345,           0.0069223,             0.99809,             0.99862,             0.99499,             0.82912,            0.016624,           0.0062427,            0.003139,            0.002872,            0.002872,            0.002872
                  38,            0.021215,           0.0093755,           0.0065791,             0.99816,             0.99959,             0.99498,             0.83479,            0.016116,           0.0061997,           0.0030123,            0.002674,            0.002674,            0.002674
                  39,            0.020847,           0.0093483,           0.0064137,              0.9981,             0.99869,               0.995,             0.83254,            0.016184,           0.0061921,           0.0028889,            0.002476,            0.002476,            0.002476
                  40,            0.020606,           0.0093103,           0.0061734,             0.99826,              0.9989,             0.99499,             0.83208,             0.01621,           0.0061903,            0.002776,            0.002278,            0.002278,            0.002278
                  41,            0.020386,           0.0093022,           0.0060722,             0.99815,             0.99883,             0.99499,             0.83527,            0.015969,           0.0061083,           0.0026977,             0.00208,             0.00208,             0.00208
                  42,            0.020002,           0.0092175,           0.0058366,             0.99813,             0.99856,               0.995,             0.83485,            0.016048,           0.0061137,           0.0026029,            0.001882,            0.001882,            0.001882
                  43,            0.019752,           0.0091899,           0.0057189,             0.99815,             0.99933,               0.995,             0.83329,            0.016162,           0.0061439,           0.0025256,            0.001684,            0.001684,            0.001684
                  44,            0.019294,           0.0090762,           0.0054474,             0.99813,             0.99935,               0.995,             0.84041,            0.015711,           0.0060057,           0.0024153,            0.001486,            0.001486,            0.001486
                  45,            0.018869,           0.0089918,           0.0052505,             0.99818,              0.9995,               0.995,               0.836,            0.015924,           0.0060638,           0.0023504,            0.001288,            0.001288,            0.001288
                  46,            0.018629,           0.0089122,           0.0050293,             0.99819,             0.99943,               0.995,             0.83928,            0.015772,           0.0059841,            0.002265,             0.00109,             0.00109,             0.00109
                  47,            0.018341,           0.0089455,           0.0048568,              0.9982,             0.99961,               0.995,             0.83825,            0.015726,           0.0060017,           0.0021812,            0.000892,            0.000892,            0.000892
                  48,            0.018201,           0.0088414,           0.0047917,             0.99813,             0.99941,               0.995,             0.83716,            0.015875,           0.0060585,            0.002133,            0.000694,            0.000694,            0.000694
                  49,            0.017656,           0.0087394,           0.0046161,             0.99815,             0.99959,               0.995,             0.83867,            0.015816,           0.0059971,           0.0020922,            0.000496,            0.000496,            0.000496
