               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082629,            0.029357,            0.096787,           0.0095642,             0.70387,            0.011506,           0.0047711,            0.048204,            0.018659,            0.095189,            0.070137,           0.0033181,           0.0033181
                   1,             0.04374,            0.024646,            0.094278,            0.011835,              0.9329,            0.016972,           0.0098673,             0.03361,            0.015447,            0.093371,            0.040082,           0.0065966,           0.0065966
                   2,            0.036452,            0.020833,            0.093372,            0.012544,             0.95195,            0.019886,            0.014163,            0.025914,            0.013278,            0.092528,           0.0099722,             0.00982,             0.00982
                   3,            0.030794,            0.017687,            0.091834,            0.013446,             0.98339,            0.033417,            0.025828,            0.021343,            0.010567,            0.090069,           0.0097525,           0.0097525,           0.0097525
                   4,            0.027137,            0.015803,            0.088921,             0.76432,             0.19995,            0.070879,            0.056733,            0.018862,            0.010218,            0.085846,           0.0097525,           0.0097525,           0.0097525
                   5,            0.025549,            0.014729,            0.084401,             0.32864,             0.32598,             0.14558,             0.11685,            0.018016,           0.0086515,            0.080047,             0.00967,             0.00967,             0.00967
                   6,            0.025766,            0.014142,            0.076787,             0.16459,             0.54566,             0.21092,             0.16958,            0.018934,           0.0089168,            0.070418,           0.0095875,           0.0095875,           0.0095875
                   7,            0.026072,            0.013735,            0.067591,             0.28878,             0.64475,             0.31914,             0.25045,            0.019923,           0.0092732,            0.060475,            0.009505,            0.009505,            0.009505
                   8,            0.026489,            0.013419,            0.057869,             0.35112,             0.82266,             0.44401,             0.36544,            0.019139,           0.0077625,            0.050065,           0.0094225,           0.0094225,           0.0094225
                   9,            0.027057,            0.012995,            0.050585,             0.41707,             0.83327,             0.51147,             0.41306,            0.018782,           0.0077744,            0.044543,             0.00934,             0.00934,             0.00934
                  10,            0.026991,            0.012899,            0.044473,             0.46891,             0.89348,             0.54774,             0.44213,             0.01899,           0.0079242,            0.038509,           0.0092575,           0.0092575,           0.0092575
